text,intent
I can talk to @115821 Alexa in the music app but not the Alexa app.  Hmmm.,device_product
"@AmazonHelp status is ""preparing for shipment"" since last tuesday. Thanks!",delivery_tracking
寒過ぎてAmazonのダンボール箱の中に入ってやがる https://t.co/JCBnsZyS4C,other
"@AmazonHelp Details shared !
Hope you contact me ASAP",other
Love buying a new tv and it doesn’t work cheers @115830 @115821,device_product
"Il corriere mi porta il pacco di Amazon che aspettavo con ansia
#GFvip https://t.co/97KhrOcYzw",delivery_tracking
"@AmazonHelp I have forwarded the details on the above link! Hope this time , issue will be resolved",other
@AmazonHelp Thanks Already done on amazon website . This is a very  criminal act as you can not denied to take Indian currency by your self until RBI generates the guidelines .10 rupess coin has not demonitized yet.,payment_billing
"@AmazonHelp @115850 @115851 @1840
I am waiting since nov. 9th .
Still it's not resolved by your representatives.
I hope now someone call me today with a better response.
and last but not the least I want my money back.
Thanks!!!
@743843",return_refund
@115821 @118706  I PAID FOR EXPEDITED SHIPPING - WHY IS THIS NOT DELIVERED YET? https://t.co/AgPzMqf1Ao,delivery_tracking
"@118919 , why did u sell 10.E MBL,its worst,2much radiation,there is no exchange for tis mbl,plz help me",device_product
@AmazonHelp just been told you have lost my delivery but you have taken payment - what do i do? who do i contact?,other
@AmazonHelp あっ💦はい！電話はしてないので大丈夫です！！ありがとうございます😊,other
@115821 Don't blame this on the delivery it was the @115821 delivery service that delivered it.,missing_delivery
"@AmazonHelp Have shared the details, waiting for some miraculous update now!",other
@AmazonHelp @369330 Who I highly doubt sent the product out like this. (but could have maybe put it in less shoddy and more appropriate packaging),order_issue
"@AmazonHelp Actualmente pago dos veces y con la aparente subida de precios, una función familiar seria conveniente. #recomendación",payment_billing
"@115850 I hv purchased watch using Amazon pay &amp; cancelled it and got refund in Amazon pay, how can I get my money back to my bank account?",return_refund
@AmazonHelp Hi. Which date should I expect? The one on the product or the one on the order page? https://t.co/peWR18KokA,delivery_tracking
"@AmazonHelp j'ai un soucis avec mon paiement, c'est la première fois que ça m'arrive, help!!",payment_billing
"@AmazonHelp i am part of the Canadian amazon, but still sadly no. I had seen it before but had to change passwords and in doing so this 2nd account vanished. here is a pic of the email i had received. just unsure how to access this 2nd account on the same email https://t.co/ggp0xVudoz",account_issue
"After 2 years, @115833 suddenly can't understand 'GPB Atlanta'. When asked, now she can't find station 'GPB Lanta', or wants to add some gobbledygook Pandora station. Voice recognition deteriorating.",device_product
"@AmazonHelp Ah bon, c'est la première fois que je vois ça, surtout pour un jeu vidéo.. Un temps supplémentaire de traitement. Mdr",shipping_information
@AmazonHelp Now i don't know anything. I want my refund. That's your company service. Your costumer service team making me only fool.,return_refund
"@AmazonHelp No one actually refunded me after the first guy said he would but can’t, so his supervisor would and the supervisor ‘promised’ the gal he had to transfer me to would. His ‘call feedback’ confirmation email even said she would be more than able to do it for me, then she did not.",return_refund
@AmazonHelp I contacted the service provider but they said this product is not available.wait for one month . #amazon,device_product
"@AmazonHelp I've always been able to do that till yesterday. I now see two nonsense options called ""sort by default"" and ""sort by priority"".",other
"@AmazonHelp Amzl US tracking id TBA556568756000. It says delivery attempted 7:32, but no note was left nor did anyone drive down my street in the past hour",missing_delivery
@AmazonHelp still haven't had an update as to why you charged me $17.98.,payment_billing
@115821 my stuff was supposed to be delivered by 8:00 pm today. It's 8:01. https://t.co/6tqRapjOZy,missing_delivery
Quand tu connais que le sav @120533 . Te prendre le sav de @184489  c'est retour a l'age de pierre . 1 DM en 6 jours . 0 action . 🤘,other
@115850 @115821 Pathetic refund policies at Amazon reflected every now and then. cc @118702 @4167 are better. @43603 @121927 @19915,return_refund
"@171383 d Mail kommt von @116316 nicht von @171383 .Es ist korrekt,dass i nicht erneut d Probemonat nutzen kann. Der Newsletter ist der Fehler.",promotion
"@AmazonHelp Not sure there's much point,I don't think there's anything else to add. There's been 36 deals (and that's just the ones i was watching) cancelled so far today. Pretty infuriating tbh",other
@115821 why do I pay for prime if you can't meet you guaranteed delivery day and time?,missing_delivery
"Well this is fun, @115821 is crap again, page just isn't loading right anymore no matter what...",other
"@AmazonHelp Est il possible de changer de lieu de livraison ? Je dois partir à 13h, colis livré ou non. Merci de votre suivi en tout cas.",shipping_information
"@AmazonHelp Ok, but need help regarding this.",other
@AmazonHelp Amazon has failed to meet its delivery deadlines on my orders twice in 4 days. Frustrating and disappointing.,missing_delivery
"@AmazonHelp No update from your team, worst service",other
@AmazonHelp I just downloaded it and it works pretty well!,other
@115821 @115850 am I going to receive this today? This was bluntly claimed since yesterday when I order. https://t.co/Oxkbn3pYc9,delivery_tracking
"O próximo @117634 a ser lançado vai vir à prova de bala, uma edição especial pros cariocas.",other
@AmazonHelp On the way...,other
@AmazonHelp It’s of no use considering my previous experience. Once I returned a leather jacket which was never replaced.,return_refund
@AmazonHelp do I have to guess where my parcel is? #amazon #AmazonPrime #CustomerService #AmazonUK https://t.co/eGggjs8FEi,delivery_tracking
"@115850 order Id: 
171-0365118-2187508. Stop fooling around and deliver the package, and I want compensation for your delivery agent being rude to my wife, and trust me this is not the first time this is happening..I want a resolution",order_issue
@AmazonHelp amazon delivery service is very poor. 3nov was the date given to me for delivey but still i have not received my product .😞,missing_delivery
知らぬ間にアマゾンプライムでモヤさまが見れるようになってた https://t.co/ELLwe9G01P,other
@AmazonHelp Can you deliver the product today at 2pm?,shipping_information
"@AmazonHelp Hi, I've ordered Style Boutique 3 on 3DS from you but it's not shipped yet, says arriving today. It's out of stock though.",delivery_tracking
"@AmazonHelp Issue still persists ,it resolved whn i clear the cache &amp; logged in without wifi and mobile data however when I am tryn agn it's same issue",other
"@AmazonHelp Ah bien, merci @AmazonHelp 🙏🏼",other
@116618 even though ive changed my account to my uk address i still can't play my prime videos on the firestick?,prime_video
@115850 dear all kindly help for my order of Amazon redmi note-4.i ordered redmi note-4 on Amazon app but redmi-4 was delivered to me,order_issue
"@AmazonHelp your delivery has started giving me headaches. Have been complaining about it since ages yet no improvement, only assurances",order_issue
@AmazonHelp Done that..waiting for ur revert,other
@AmazonHelp I have done that it was two items from two separate people but the delivery due on the 2nd was left in my safe place but the others wasn’t,missing_delivery
"@AmazonHelp Still no parcel, contacted customer service at 5pm, promised a response to whether they could find it in the hour still nothing...",missing_delivery
"@AmazonHelp Never mind you can't solve the issue! My remark stays ""@115850 is a piece of shit"" check my chats with your guys",order_issue
@AmazonHelp How can an item that I pre-ordered in advance be OUT OF STOCK for me now upon shipment date?,order_issue
"Dear @115821 please, PLEASE stop using @3375 - they NEVER deliver on time and never update tracking. Horrible shipping provider.",shipping_information
@115850  https://t.co/nEulluXi9W,other
@AmazonHelp Je ne pense pas.,other
"@AmazonHelp Une partie de ma commande a été renvoyée, l’autre remboursée; je suis assez déçu. Cela aurait pu être évité avec un peu de communication…",order_issue
アマゾンでKindle版の書籍購入ってどうやるんだ？？配信先が選べない。本人のあいぽん意外には入れられないのか？？,device_product
What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,return_refund
"Not once, or twice, but three separate times I've paid for Amazon one day shipping only to get my package after 2-3 days regardless...starting to feel like its a real scam @AmazonHelp",missing_delivery
"trying to reclaim a gc which says it's been redeemed, but not according to my account history @AmazonHelp",account_issue
支払い終わったのにAmazonの支払い番号がまた来たんですが、これってまさか嫌な予感するわやけど…,payment_billing
Gritar de alegría porque piensas que te ha llegado el Fifa y resulta que son 3 putos cables y detergente. @116928 esto no se hace :( WHERE IS MY FIFA!!,missing_delivery
"@AmazonHelp Noted right above the ""edition"" selection on the picture; my standard Switch preorder is via Amazon directly, not via a 3rd party seller. https://t.co/GuKRA8CDyu",device_product
@AmazonHelp Tht link is not working,other
